Source Node,Target Node
Gunter_d'Alquen,Heinrich_Himmler
Ludolf_von_Alvensleben,Gertrud_Scholtz-Klink
Ludolf_von_Alvensleben,Heinrich_Himmler
Ludolf_von_Alvensleben,Rudolf_Hess
Ludolf_von_Alvensleben,Baldur_von_Schirach
Ludolf_von_Alvensleben,Artur_Axmann
Ludolf_von_Alvensleben,Friedrich-Wilhelm_Krüger
Max_Amann,Otto_Dietrich
Max_Amann,Adolf_Hitler
Max_Amann,Franz_Ritter_von_Epp
Benno_von_Arent,Heinrich_Himmler
Hans_Aumeier,Heinrich_Himmler
Hans_Aumeier,Friedrich_Jeckeln
Hans_Aumeier,Richard_Glücks
Artur_Axmann,Adolf_Hitler
Artur_Axmann,Baldur_von_Schirach
Artur_Axmann,Heinrich_Himmler
Artur_Axmann,Konstantin_Hierl
Artur_Axmann,Martin_Bormann
Artur_Axmann,Werner_Naumann
Erich_von_dem_Bach-Zelewski,Heinrich_Himmler
Erich_von_dem_Bach-Zelewski,Arthur_Nebe
Erich_von_dem_Bach-Zelewski,Reinhard_Heydrich
Erich_von_dem_Bach-Zelewski,Kurt_Daluege
Erich_von_dem_Bach-Zelewski,Hans-Adolf_Prützmann
Erich_von_dem_Bach-Zelewski,Hermann_Göring
Erich_von_dem_Bach-Zelewski,Adolf_Eichmann
Herbert_Backe,Adolf_Hitler
Herbert_Backe,Richard_Walther_Darré
Herbert_Backe,Hans-Joachim_Riecke
Herbert_Backe,Reinhard_Heydrich
Herbert_Backe,Hermann_Göring
Herbert_Backe,Werner_Best
Herbert_Backe,Wilhelm_Stuckart
Herbert_Backe,Wilhelm_Frick
Herbert_Backe,Wilhelm_Ohnesorge
Herbert_Backe,Alfred_Rosenberg
Herbert_Backe,Karl_Dönitz
Richard_Baer,Rudolf_Höss
Richard_Baer,Martin_Gottfried_Weiss
Richard_Baer,Theodor_Eicke
Richard_Baer,Oswald_Pohl
Richard_Baer,Arthur_Liebehenschel
Richard_Baer,Fritz_Hartjenstein
Richard_Baer,Josef_Kramer
Klaus_Barbie,Adolf_Eichmann
Klaus_Barbie,Adolf_Hitler
Klaus_Barbie,Josef_Mengele
Joseph_Berchtold,Adolf_Hitler
Joseph_Berchtold,Julius_Schreck
Joseph_Berchtold,Erhard_Heiden
Gottlob_Berger,Heinrich_Himmler
Gottlob_Berger,Oskar_Dirlewanger
Gottlob_Berger,Adolf_Hitler
Gottlob_Berger,Friedrich-Wilhelm_Krüger
Gottlob_Berger,Werner_von_Fritsch
Gottlob_Berger,Sepp_Dietrich
Gottlob_Berger,August_Heissmeyer
Gottlob_Berger,Baldur_von_Schirach
Gottlob_Berger,Paul_Hausser
Gottlob_Berger,Theodor_Eicke
Gottlob_Berger,Wilhelm_Keitel
Gottlob_Berger,Alfred_Jodl
Gottlob_Berger,Hans_Jüttner
Gottlob_Berger,Artur_Axmann
Gottlob_Berger,Albert_Speer
Gottlob_Berger,Alfred_Rosenberg
Gottlob_Berger,Martin_Bormann
Werner_Best,Reinhard_Heydrich
Werner_Best,Ernst_Röhm
Werner_Best,Heinrich_Himmler
Werner_Best,Otto_von_Stülpnagel
Helmut_Bischoff,Hans_Kammler
Helmut_Bischoff,Richard_Baer
Helmut_Bischoff,Albert_Speer
Paul_Blobel,Friedrich_Jeckeln
Paul_Blobel,Adolf_Hitler
Paul_Blobel,Reinhard_Heydrich
Werner_von_Blomberg,Wilhelm_Keitel
Werner_von_Blomberg,Hermann_Göring
Werner_von_Blomberg,Heinrich_Himmler
Werner_von_Blomberg,Adolf_Hitler
Werner_von_Blomberg,Walter_von_Reichenau
Werner_von_Blomberg,Ernst_Röhm
